エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
アルフィノから、一足先にイシュガルドへ戻って、シドの様子を見てきてほしいと頼まれた。イシュガルドのスカイスチール機工房にいる「シド」と話そう。			アルフィノから、一足先にイシュガルドへ戻って、シドの様子を見てきてほしいと頼まれた。イシュガルドのスカイスチール機工房にいる「シド」と話そう。			血戦を前に							
シドから、マナカッターが最終調整段階にあることを聞いた。シドたちが最後の仕上げをしている間に、イシュガルドのフォルタン伯爵邸にいる「エスティニアン」と話そう。			シドから、マナカッターが最終調整段階にあることを聞いた。シドたちが最後の仕上げをしている間に、イシュガルドのフォルタン伯爵邸にいる「エスティニアン」と話そう。			血戦を前に							
エスティニアンと話した。アイメリクに、これからの行動を説明する必要があるそうだ。イシュガルドの神殿騎士団本部にある「神殿騎士団総長室」に向かおう。「神殿騎士団総長室」へは、神殿騎士団本部にいる「神殿騎士団の衛兵」が案内してくれるようだ。			エスティニアンと話した。アイメリクに、これからの行動を説明する必要があるそうだ。イシュガルドの神殿騎士団本部にある「神殿騎士団総長室」に向かおう。「神殿騎士団総長室」へは、神殿騎士団本部にいる「神殿騎士団の衛兵」が案内してくれるようだ。			血戦を前に							
エスティニアンとともに、マナカッターで竜の巣へ侵入し、ニーズヘッグを討ち取ることになった。神殿騎士団本部の「エスティニアン」と話そう。			エスティニアンとともに、マナカッターで竜の巣へ侵入し、ニーズヘッグを討ち取ることになった。神殿騎士団本部の「エスティニアン」と話そう。			血戦を前に							
エスティニアンと話した。彼はアルフィノのことをいい指導者になれるだろうと言い、高く買っていることを明かした。			エスティニアンと話した。彼はアルフィノのことをいい指導者になれるだろうと言い、高く買っていることを明かした。			血戦を前に							
イシュガルドのシドと話す			イシュガルドのシドと話す			血戦を前に							
フォルタン伯爵邸のエスティニアンと話す			フォルタン伯爵邸のエスティニアンと話す			血戦を前に							
神殿騎士団総長室に向かう			神殿騎士団総長室に向かう			血戦を前に							
エスティニアンと話す			エスティニアンと話す			血戦を前に							
リオルたちと、今後の動きについて少し話したい。「砂の家」のウリエンジェたちや、イシュガルドのタタルと、情報を連携する体制を整えたいんだ。			リオルたちと、今後の動きについて少し話したい。「砂の家」のウリエンジェたちや、イシュガルドのタタルと、情報を連携する体制を整えたいんだ。			血戦を前に							
Forename、一足先にイシュガルドに戻り、シドたちの様子を見に行ってほしい。こちらの準備が整い次第、私もすぐに駆けつける！			Forename、一足先にイシュガルドに戻り、シドたちの様子を見に行ってほしい。こちらの準備が整い次第、私もすぐに駆けつける！			血戦を前に							
ミンフィリアと賢人たちに加え、フ・ラミンさんと、その護衛に同行した者たちも捜さねば。ホーリー・ボルダーとクルトゥネのふたりだ。			ミンフィリアと賢人たちに加え、フ・ラミンさんと、その護衛に同行した者たちも捜さねば。ホーリー・ボルダーとクルトゥネのふたりだ。			血戦を前に							
どうやら、一区切りがついたようだな。では、私も賢人たちの捜索を続けよう。それではな……。			どうやら、一区切りがついたようだな。では、私も賢人たちの捜索を続けよう。それではな……。			血戦を前に							
おう、ちょうどいいところに戻ってきたな。今し方、「マナカッター」の試験飛行に成功したところだ。ようやく、完成したぜ！			おう、ちょうどいいところに戻ってきたな。今し方、「マナカッター」の試験飛行に成功したところだ。ようやく、完成したぜ！			血戦を前に							
こっちは、最終調整をやっておくから、お前さんは、「フォルタン家の屋敷」に顔を出してくれ。「エスティニアン」とかいう竜騎士が探していたぜ。			こっちは、最終調整をやっておくから、お前さんは、「フォルタン家の屋敷」に顔を出してくれ。「エスティニアン」とかいう竜騎士が探していたぜ。			血戦を前に							
こっちは最後の調整を仕上げておくから、お前さんは、「フォルタン家の屋敷」に顔を出してくれ。「エスティニアン」とかいう竜騎士が探していたぜ。			こっちは最後の調整を仕上げておくから、お前さんは、「フォルタン家の屋敷」に顔を出してくれ。「エスティニアン」とかいう竜騎士が探していたぜ。			血戦を前に							
ちゃんと予備機も含めて、調整をしているところだ。性能は……期待してもらって構わないぞ。			ちゃんと予備機も含めて、調整をしているところだ。性能は……期待してもらって構わないぞ。			血戦を前に							
眠いッス……でも、がんばるッス……。			眠いッス……でも、がんばるッス……。			血戦を前に							
どうやら、そっちの用件は片付いたようだな。あらかたの状況は、タタルの嬢ちゃんから聞いている。			どうやら、そっちの用件は片付いたようだな。あらかたの状況は、タタルの嬢ちゃんから聞いている。			血戦を前に							
「竜の巣」に突入するための小型飛空艇……「マナカッター」の準備が整いつつあると聞き、お前と合流するために戻ってきたのさ。			「竜の巣」に突入するための小型飛空艇……「マナカッター」の準備が整いつつあると聞き、お前と合流するために戻ってきたのさ。			血戦を前に							
ニーズヘッグは相変わらずだ。都合がいいことに、「竜の巣」に篭ったままでな。			ニーズヘッグは相変わらずだ。都合がいいことに、「竜の巣」に篭ったままでな。			血戦を前に							
さあ、「アイメリク」に一声かけにいくぞ。作戦の概要は伝えてあるが、説明しないで出る訳にもいかん。奴なら、「神殿騎士団本部」にいるはずだ。			さあ、「アイメリク」に一声かけにいくぞ。作戦の概要は伝えてあるが、説明しないで出る訳にもいかん。奴なら、「神殿騎士団本部」にいるはずだ。			血戦を前に							
