アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
皇都の留守は、まかしときな。教皇の代わりに国をまとめようっていう、青臭い総長サマを手助けして、裏から支えてやるからよ。									皇都の留守は、まかしときな。教皇の代わりに国をまとめようっていう、青臭い総長サマを手助けして、裏から支えてやるからよ。	灯されし希望
皇都の留守は、まかしときな。教皇の代わりに国をまとめようっていう、青臭い総長サマを手助けして、裏から支えてやるからよ。									皇都の留守は、まかしときな。教皇の代わりに国をまとめようっていう、青臭い総長サマを手助けして、裏から支えてやるからよ。	灯されし希望
へへ、皇都のことは任せておきな。									へへ、皇都のことは任せておきな。	灯されし希望
汚れ仕事は、こっちでやっておくさ。									汚れ仕事は、こっちでやっておくさ。	灯されし希望
Surname殿……。わざわざ、挨拶に来てくれたのか。ありがとう……貴殿には、心配をかけてしまったな。									Surname殿……。わざわざ、挨拶に来てくれたのか。ありがとう……貴殿には、心配をかけてしまったな。	灯されし希望
未だ、私の心は、息子を失った悲しみに包まれたままだ。しかし、息子が信じたイシュガルドの未来を掴むためには、下ばかりを向いてはいられない……。									未だ、私の心は、息子を失った悲しみに包まれたままだ。しかし、息子が信じたイシュガルドの未来を掴むためには、下ばかりを向いてはいられない……。	灯されし希望
オルシュファンは、私に貴殿らを皇都に招き、その後見人になるようにと、説得する時にこう言ったのだ。Forenameは、我が友であり、希望であると……。									オルシュファンは、私に貴殿らを皇都に招き、その後見人になるようにと、説得する時にこう言ったのだ。Forenameは、我が友であり、希望であると……。	灯されし希望
今なら、その真の意味がわかる……。貴殿は、吹雪の中にあったイシュガルドに灯された希望だ。									今なら、その真の意味がわかる……。貴殿は、吹雪の中にあったイシュガルドに灯された希望だ。	灯されし希望
どうか、息子の思いを、決戦の地まで連れて行ってやってほしい。……そして、必ず、生きて戻ってくるのだぞ！									どうか、息子の思いを、決戦の地まで連れて行ってやってほしい。……そして、必ず、生きて戻ってくるのだぞ！	灯されし希望
オルシュファンは、私に貴殿らを皇都に招き、その後見人になるようにと、説得する時にこう言ったのだ。Forenameは、我が友であり、希望であると……。									オルシュファンは、私に貴殿らを皇都に招き、その後見人になるようにと、説得する時にこう言ったのだ。Forenameは、我が友であり、希望であると……。	灯されし希望
今なら、その真の意味がわかる……。貴殿は、吹雪の中にあったイシュガルドに灯された希望だ。……必ず、生きて戻ってくるのだぞ！									今なら、その真の意味がわかる……。貴殿は、吹雪の中にあったイシュガルドに灯された希望だ。……必ず、生きて戻ってくるのだぞ！	灯されし希望
Surname様。ご武運をお祈りしております……。									Surname様。ご武運をお祈りしております……。	灯されし希望
挨拶は済んだのかい？……そうか、フォルタン伯爵から、オルシュファン殿の盾を。そうだね、彼の思いとともに行こう。									挨拶は済んだのかい？……そうか、フォルタン伯爵から、オルシュファン殿の盾を。そうだね、彼の思いとともに行こう。	灯されし希望
「魔大陸」に何が待ち受けているかは想像できない。最後の戦いだ、気合を入れて臨もう。									「魔大陸」に何が待ち受けているかは想像できない。最後の戦いだ、気合を入れて臨もう。	灯されし希望
イシュガルド・ランディングのアルフィノは、頼みたいことがあるようだ。									イシュガルド・ランディングのアルフィノは、頼みたいことがあるようだ。	その翼、エクセルシオ
