石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
チャイ・ヌズ氏と状況を共有してる……というところかしら？私たちも、海底でのできごとを報告するとしましょう。									チャイ・ヌズ氏と状況を共有してる……というところかしら？私たちも、海底でのできごとを報告するとしましょう。	稀なるつわもの
そういえば、彼が元首代行になってから初めて会うわ。うしろに控えているのが、報告にあったレンデン氏かしら？									そういえば、彼が元首代行になってから初めて会うわ。うしろに控えているのが、報告にあったレンデン氏かしら？	稀なるつわもの
どうする？									どうする？	稀なるつわもの
話す									話す	稀なるつわもの
パーティを編成して突入									パーティを編成して突入	稀なるつわもの
キャンセル									キャンセル	稀なるつわもの
準備ができたら、飛空艇乗り場に案内しよう。そこから飛び立って、アム・アレーン西部を横切る形で、クリスタリウムを目指すんだ。									準備ができたら、飛空艇乗り場に案内しよう。そこから飛び立って、アム・アレーン西部を横切る形で、クリスタリウムを目指すんだ。	稀なるつわもの
その航路であれば、最悪、途中で降りて応戦もできる。襲撃者の狙いがはっきりしていない以上、臨機応変に動くしかなさそうだ……。									その航路であれば、最悪、途中で降りて応戦もできる。襲撃者の狙いがはっきりしていない以上、臨機応変に動くしかなさそうだ……。	稀なるつわもの
流星雨の幻影が、消えずに続いてる……。謎の襲撃者といい、次から次へと不吉ったらないわ……！									流星雨の幻影が、消えずに続いてる……。謎の襲撃者といい、次から次へと不吉ったらないわ……！	稀なるつわもの
でも、水晶公があなたを襲わせるような真似をするはずない。それに……私たちを必ず帰すって約束したんだもの、あの頑固者は、何があったって諦めたりしないはずだわ。									でも、水晶公があなたを襲わせるような真似をするはずない。それに……私たちを必ず帰すって約束したんだもの、あの頑固者は、何があったって諦めたりしないはずだわ。	稀なるつわもの
だから、あの人を信じましょう。信じて……襲撃者たちを撃退して……クリスタリウムに乗り込むわよ！									だから、あの人を信じましょう。信じて……襲撃者たちを撃退して……クリスタリウムに乗り込むわよ！	稀なるつわもの
さっきの光を帯びた剣士……斬ったときの手ごたえが薄かった。ヤ・シュトラの言うとおり、幻体の類いだろう。									さっきの光を帯びた剣士……斬ったときの手ごたえが薄かった。ヤ・シュトラの言うとおり、幻体の類いだろう。	稀なるつわもの
俺たちならば対処もできるが、また街中で襲われたら、周りを巻き込みかねない。ひとまず飛空艇で移動しながら様子見という案には賛成だ。									俺たちならば対処もできるが、また街中で襲われたら、周りを巻き込みかねない。ひとまず飛空艇で移動しながら様子見という案には賛成だ。	稀なるつわもの
