フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
しかしながら、この神龍とオメガの双方が、一連の戦闘でどのような状態になったのかは判明していません。落下したのは長城の向こう側、ギラバニアなのですから……。									しかしながら、この神龍とオメガの双方が、一連の戦闘でどのような状態になったのかは判明していません。落下したのは長城の向こう側、ギラバニアなのですから……。	宿命の果て
そこで、我らはピピン率いる同盟軍本隊を出陣させ、「バエサルの長城」の確保に向かわせた。									そこで、我らはピピン率いる同盟軍本隊を出陣させ、「バエサルの長城」の確保に向かわせた。	宿命の果て
帝国軍が混乱している隙に、国境線を押さえつつ、ギラバニアの状況を確認するためにな……。吾輩も、この会議が終わり次第、前線に向かうつもりだ。									帝国軍が混乱している隙に、国境線を押さえつつ、ギラバニアの状況を確認するためにな……。吾輩も、この会議が終わり次第、前線に向かうつもりだ。	宿命の果て
状況は理解した。おそらくオメガが通信を途絶したのは、その「閃光」とやらが確認された頃だろう……。									状況は理解した。おそらくオメガが通信を途絶したのは、その「閃光」とやらが確認された頃だろう……。	宿命の果て
管制室から時間凍結システムを起動しておいたから、帝国領内に墜落しても、化石同然の存在になっているはずだ。									管制室から時間凍結システムを起動しておいたから、帝国領内に墜落しても、化石同然の存在になっているはずだ。	宿命の果て
オレ様抜きの帝国軍に、どうこうできる状態じゃないってこった。今すぐ、オメガが帝国陣営に加わる危険はないだろうよ。									オレ様抜きの帝国軍に、どうこうできる状態じゃないってこった。今すぐ、オメガが帝国陣営に加わる危険はないだろうよ。	宿命の果て
その言葉を聞いて安心しました。とはいえ、油断もしていられませんね。									その言葉を聞いて安心しました。とはいえ、油断もしていられませんね。	宿命の果て
ええ、なるべく早期にギラバニアの反帝国勢力と接触……連帯の道筋を模索しておきたいところです。それでこそ、アラミゴ解放への道筋も見えてきましょう。									ええ、なるべく早期にギラバニアの反帝国勢力と接触……連帯の道筋を模索しておきたいところです。それでこそ、アラミゴ解放への道筋も見えてきましょう。	宿命の果て
吾輩は、バエサルの長城へと向かう。帝国軍の迎撃は我らに任せ、貴様らは身体を休めるといい。									吾輩は、バエサルの長城へと向かう。帝国軍の迎撃は我らに任せ、貴様らは身体を休めるといい。	宿命の果て
長城制圧は、イシュガルド参加後のエオルゼア同盟軍にとって、初の本格的な実戦の場となろう。試練ではあるが、絆を深める機会としたいものだな。									長城制圧は、イシュガルド参加後のエオルゼア同盟軍にとって、初の本格的な実戦の場となろう。試練ではあるが、絆を深める機会としたいものだな。	宿命の果て
